Total_Rape_Victims,VICTIM_COUNT,STATE_UT,RAPE_TYPE,CASES_REPORTED,AGE_GROUP,YEAR
0,0,LAKSHADWEEP,Total Rape Victims,0,Between-14-18-Yrs,2001
0,0,LAKSHADWEEP,Total Rape Victims,0,Between-18-30-Yrs,2001
0,0,LAKSHADWEEP,Total Rape Victims,0,Between-30-50-Yrs,2001
0,0,LAKSHADWEEP,Total Rape Victims,0,Upto-10-Yrs,2001
0,0,LAKSHADWEEP,Victims of Incest Rape,0,Above-50-Yrs,2001
0,0,LAKSHADWEEP,Victims of Incest Rape,0,Between-10-14-Yrs,2001
0,0,LAKSHADWEEP,Victims of Incest Rape,0,Between-14-18-Yrs,2001
0,0,LAKSHADWEEP,Victims of Incest Rape,0,Between-18-30-Yrs,2001
0,0,LAKSHADWEEP,Victims of Incest Rape,0,Between-30-50-Yrs,2001
0,0,LAKSHADWEEP,Victims of Incest Rape,0,Upto-10-Yrs,2001
0,0,LAKSHADWEEP,Victims of Other Rape,0,Above-50-Yrs,2001
0,0,LAKSHADWEEP,Victims of Other Rape,0,Between-10-14-Yrs,2001
0,0,LAKSHADWEEP,Victims of Other Rape,0,Between-14-18-Yrs,2001
0,0,LAKSHADWEEP,Victims of Other Rape,0,Between-18-30-Yrs,2001
0,0,LAKSHADWEEP,Victims of Other Rape,0,Between-30-50-Yrs,2001
0,0,LAKSHADWEEP,Victims of Other Rape,0,Upto-10-Yrs,2001
0,0,MADHYA PRADESH,Victims of Incest Rape,301,Above-50-Yrs,2001
0,0,MAHARASHTRA,Victims of Incest Rape,20,Above-50-Yrs,2001
0,0,MANIPUR,Victims of Incest Rape,2,Above-50-Yrs,2001
0,0,MANIPUR,Victims of Incest Rape,2,Between-10-14-Yrs,2001
0,0,MANIPUR,Victims of Incest Rape,2,Between-14-18-Yrs,2001
0,0,MANIPUR,Victims of Incest Rape,2,Between-18-30-Yrs,2001
0,0,MANIPUR,Victims of Incest Rape,2,Between-30-50-Yrs,2001
0,0,MEGHALAYA,Total Rape Victims,26,Above-50-Yrs,2001
0,0,MEGHALAYA,Victims of Incest Rape,5,Above-50-Yrs,2001
0,0,MEGHALAYA,Victims of Incest Rape,5,Between-10-14-Yrs,2001
0,0,MEGHALAYA,Victims of Other Rape,21,Above-50-Yrs,2001
0,0,MIZORAM,Total Rape Victims,52,Above-50-Yrs,2001
0,0,MIZORAM,Total Rape Victims,52,Between-10-14-Yrs,2001
0,0,MIZORAM,Total Rape Victims,52,Upto-10-Yrs,2001
0,0,MIZORAM,Victims of Incest Rape,0,Above-50-Yrs,2001
0,0,MIZORAM,Victims of Incest Rape,0,Between-10-14-Yrs,2001
0,0,MIZORAM,Victims of Incest Rape,0,Between-14-18-Yrs,2001
0,0,MIZORAM,Victims of Incest Rape,0,Between-18-30-Yrs,2001
0,0,MIZORAM,Victims of Incest Rape,0,Between-30-50-Yrs,2001
0,0,MIZORAM,Victims of Incest Rape,0,Upto-10-Yrs,2001
0,0,MIZORAM,Victims of Other Rape,52,Above-50-Yrs,2001
0,0,MIZORAM,Victims of Other Rape,52,Between-10-14-Yrs,2001
0,0,MIZORAM,Victims of Other Rape,52,Upto-10-Yrs,2001
0,0,NAGALAND,Total Rape Victims,17,Above-50-Yrs,2001
0,0,NAGALAND,Total Rape Victims,17,Between-10-14-Yrs,2001
0,0,NAGALAND,Total Rape Victims,17,Upto-10-Yrs,2001
0,0,NAGALAND,Victims of Incest Rape,1,Above-50-Yrs,2001
0,0,NAGALAND,Victims of Incest Rape,1,Between-10-14-Yrs,2001
0,0,NAGALAND,Victims of Incest Rape,1,Between-14-18-Yrs,2001
0,0,NAGALAND,Victims of Incest Rape,1,Between-18-30-Yrs,2001
0,0,NAGALAND,Victims of Incest Rape,1,Upto-10-Yrs,2001
0,0,NAGALAND,Victims of Other Rape,16,Above-50-Yrs,2001
0,0,NAGALAND,Victims of Other Rape,16,Between-10-14-Yrs,2001
0,0,NAGALAND,Victims of Other Rape,16,Upto-10-Yrs,2001
0,0,ODISHA,Total Rape Victims,790,Above-50-Yrs,2001
0,0,ODISHA,Victims of Incest Rape,4,Above-50-Yrs,2001
0,0,ODISHA,Victims of Incest Rape,4,Between-10-14-Yrs,2001
0,0,ODISHA,Victims of Incest Rape,4,Between-30-50-Yrs,2001
0,0,ODISHA,Victims of Incest Rape,4,Upto-10-Yrs,2001
0,0,ODISHA,Victims of Other Rape,786,Above-50-Yrs,2001
0,0,PUDUCHERRY,Total Rape Victims,9,Above-50-Yrs,2001
0,0,PUDUCHERRY,Victims of Incest Rape,0,Above-50-Yrs,2001
0,0,PUDUCHERRY,Victims of Incest Rape,0,Between-10-14-Yrs,2001
0,0,PUDUCHERRY,Victims of Incest Rape,0,Between-14-18-Yrs,2001
0,0,PUDUCHERRY,Victims of Incest Rape,0,Between-18-30-Yrs,2001
0,0,PUDUCHERRY,Victims of Incest Rape,0,Between-30-50-Yrs,2001
0,0,PUDUCHERRY,Victims of Incest Rape,0,Upto-10-Yrs,2001
0,0,PUDUCHERRY,Victims of Other Rape,9,Above-50-Yrs,2001
0,0,PUNJAB,Victims of Incest Rape,0,Above-50-Yrs,2001
0,0,PUNJAB,Victims of Incest Rape,0,Between-10-14-Yrs,2001
0,0,PUNJAB,Victims of Incest Rape,0,Between-14-18-Yrs,2001
0,0,PUNJAB,Victims of Incest Rape,0,Between-18-30-Yrs,2001
0,0,PUNJAB,Victims of Incest Rape,0,Between-30-50-Yrs,2001
0,0,PUNJAB,Victims of Incest Rape,0,Upto-10-Yrs,2001
0,0,RAJASTHAN,Victims of Incest Rape,18,Above-50-Yrs,2001
0,0,SIKKIM,Total Rape Victims,8,Above-50-Yrs,2001
0,0,SIKKIM,Total Rape Victims,8,Between-10-14-Yrs,2001
0,0,SIKKIM,Victims of Incest Rape,1,Above-50-Yrs,2001
0,0,SIKKIM,Victims of Incest Rape,1,Between-10-14-Yrs,2001
0,0,SIKKIM,Victims of Incest Rape,1,Between-14-18-Yrs,2001
0,0,SIKKIM,Victims of Incest Rape,1,Between-18-30-Yrs,2001
0,0,SIKKIM,Victims of Incest Rape,1,Between-30-50-Yrs,2001
0,0,SIKKIM,Victims of Other Rape,7,Above-50-Yrs,2001
0,0,SIKKIM,Victims of Other Rape,7,Between-10-14-Yrs,2001
0,0,SIKKIM,Victims of Other Rape,7,Upto-10-Yrs,2001
0,0,TAMIL NADU,Victims of Incest Rape,21,Above-50-Yrs,2001
0,0,TAMIL NADU,Victims of Incest Rape,21,Upto-10-Yrs,2001
0,0,TRIPURA,Total Rape Victims,102,Above-50-Yrs,2001
0,0,TRIPURA,Total Rape Victims,102,Between-10-14-Yrs,2001
0,0,TRIPURA,Total Rape Victims,102,Upto-10-Yrs,2001
0,0,TRIPURA,Victims of Incest Rape,0,Above-50-Yrs,2001
0,0,TRIPURA,Victims of Incest Rape,0,Between-10-14-Yrs,2001
0,0,TRIPURA,Victims of Incest Rape,0,Between-14-18-Yrs,2001
0,0,TRIPURA,Victims of Incest Rape,0,Between-18-30-Yrs,2001
0,0,TRIPURA,Victims of Incest Rape,0,Between-30-50-Yrs,2001
0,0,TRIPURA,Victims of Incest Rape,0,Upto-10-Yrs,2001
0,0,TRIPURA,Victims of Other Rape,102,Above-50-Yrs,2001
0,0,TRIPURA,Victims of Other Rape,102,Between-10-14-Yrs,2001
0,0,TRIPURA,Victims of Other Rape,102,Upto-10-Yrs,2001
0,0,UTTAR PRADESH,Total Rape Victims,1958,Above-50-Yrs,2001
0,0,UTTAR PRADESH,Victims of Incest Rape,3,Above-50-Yrs,2001
0,0,UTTAR PRADESH,Victims of Incest Rape,3,Between-14-18-Yrs,2001
0,0,UTTAR PRADESH,Victims of Incest Rape,3,Between-30-50-Yrs,2001
0,0,UTTAR PRADESH,Victims of Incest Rape,3,Upto-10-Yrs,2001
0,0,UTTAR PRADESH,Victims of Other Rape,1955,Above-50-Yrs,2001
0,0,UTTARAKHAND,Total Rape Victims,74,Above-50-Yrs,2001
0,0,UTTARAKHAND,Victims of Incest Rape,0,Above-50-Yrs,2001
0,0,UTTARAKHAND,Victims of Incest Rape,0,Between-10-14-Yrs,2001
0,0,UTTARAKHAND,Victims of Incest Rape,0,Between-14-18-Yrs,2001
0,0,UTTARAKHAND,Victims of Incest Rape,0,Between-18-30-Yrs,2001
0,0,UTTARAKHAND,Victims of Incest Rape,0,Between-30-50-Yrs,2001
0,0,UTTARAKHAND,Victims of Incest Rape,0,Upto-10-Yrs,2001
0,0,UTTARAKHAND,Victims of Other Rape,74,Above-50-Yrs,2001
0,0,WEST BENGAL,Total Rape Victims,709,Above-50-Yrs,2001
0,0,WEST BENGAL,Victims of Incest Rape,0,Above-50-Yrs,2001
0,0,WEST BENGAL,Victims of Incest Rape,0,Between-10-14-Yrs,2001
0,0,WEST BENGAL,Victims of Incest Rape,0,Between-14-18-Yrs,2001
0,0,WEST BENGAL,Victims of Incest Rape,0,Between-18-30-Yrs,2001
0,0,WEST BENGAL,Victims of Incest Rape,0,Between-30-50-Yrs,2001
0,0,WEST BENGAL,Victims of Incest Rape,0,Upto-10-Yrs,2001
0,0,WEST BENGAL,Victims of Other Rape,709,Above-50-Yrs,2001
1,1,ANDAMAN & NICOBAR ISLANDS,Victims of Incest Rape,1,Between-14-18-Yrs,2001
1,1,ARUNACHAL PRADESH,Total Rape Victims,33,Between-14-18-Yrs,2001
1,1,ARUNACHAL PRADESH,Victims of Other Rape,33,Between-14-18-Yrs,2001
1,1,ASSAM,Victims of Incest Rape,8,Between-10-14-Yrs,2001
1,1,BIHAR,Total Rape Victims,888,Upto-10-Yrs,2001
1,1,BIHAR,Victims of Incest Rape,8,Between-18-30-Yrs,2001
1,1,BIHAR,Victims of Other Rape,880,Upto-10-Yrs,2001
1,1,CHHATTISGARH,Victims of Incest Rape,6,Between-14-18-Yrs,2001
1,1,CHHATTISGARH,Victims of Incest Rape,6,Between-18-30-Yrs,2001
1,1,CHHATTISGARH,Victims of Incest Rape,6,Between-30-50-Yrs,2001
1,1,DELHI,Victims of Incest Rape,9,Between-18-30-Yrs,2001
1,1,GOA,Total Rape Victims,12,Between-14-18-Yrs,2001
1,1,GOA,Total Rape Victims,12,Between-30-50-Yrs,2001
1,1,GOA,Victims of Other Rape,12,Between-14-18-Yrs,2001
1,1,GOA,Victims of Other Rape,12,Between-30-50-Yrs,2001
1,1,JAMMU & KASHMIR,Victims of Incest Rape,2,Between-14-18-Yrs,2001
1,1,JAMMU & KASHMIR,Victims of Incest Rape,2,Between-18-30-Yrs,2001
1,1,JHARKHAND,Victims of Incest Rape,12,Upto-10-Yrs,2001
1,1,KARNATAKA,Victims of Incest Rape,5,Between-14-18-Yrs,2001
1,1,KARNATAKA,Victims of Incest Rape,5,Between-18-30-Yrs,2001
1,1,KERALA,Total Rape Victims,562,Above-50-Yrs,2001
1,1,KERALA,Victims of Incest Rape,4,Above-50-Yrs,2001
1,1,KERALA,Victims of Incest Rape,4,Between-14-18-Yrs,2001
1,1,KERALA,Victims of Incest Rape,4,Between-18-30-Yrs,2001
1,1,KERALA,Victims of Incest Rape,4,Upto-10-Yrs,2001
1,1,MAHARASHTRA,Victims of Incest Rape,20,Upto-10-Yrs,2001
1,1,MANIPUR,Total Rape Victims,20,Above-50-Yrs,2001
1,1,MANIPUR,Total Rape Victims,20,Between-10-14-Yrs,2001
1,1,MANIPUR,Victims of Other Rape,18,Above-50-Yrs,2001
1,1,MANIPUR,Victims of Other Rape,18,Between-10-14-Yrs,2001
1,1,MANIPUR,Victims of Other Rape,18,Upto-10-Yrs,2001
1,1,MEGHALAYA,Victims of Incest Rape,5,Between-14-18-Yrs,2001
1,1,MEGHALAYA,Victims of Incest Rape,5,Between-18-30-Yrs,2001
1,1,MEGHALAYA,Victims of Incest Rape,5,Upto-10-Yrs,2001
1,1,MEGHALAYA,Victims of Other Rape,21,Between-30-50-Yrs,2001
1,1,NAGALAND,Victims of Incest Rape,1,Between-30-50-Yrs,2001
1,1,ODISHA,Victims of Incest Rape,4,Between-18-30-Yrs,2001
1,1,PUDUCHERRY,Total Rape Victims,9,Between-18-30-Yrs,2001
1,1,PUDUCHERRY,Total Rape Victims,9,Between-30-50-Yrs,2001
1,1,PUDUCHERRY,Victims of Other Rape,9,Between-18-30-Yrs,2001
1,1,PUDUCHERRY,Victims of Other Rape,9,Between-30-50-Yrs,2001
1,1,PUNJAB,Total Rape Victims,298,Above-50-Yrs,2001
1,1,PUNJAB,Victims of Other Rape,298,Above-50-Yrs,2001
1,1,RAJASTHAN,Victims of Incest Rape,18,Between-10-14-Yrs,2001
1,1,RAJASTHAN,Victims of Incest Rape,18,Between-30-50-Yrs,2001
1,1,RAJASTHAN,Victims of Incest Rape,18,Upto-10-Yrs,2001
1,1,SIKKIM,Total Rape Victims,8,Between-30-50-Yrs,2001
1,1,SIKKIM,Total Rape Victims,8,Upto-10-Yrs,2001
1,1,SIKKIM,Victims of Incest Rape,1,Upto-10-Yrs,2001
1,1,SIKKIM,Victims of Other Rape,7,Between-30-50-Yrs,2001
1,1,UTTAR PRADESH,Victims of Incest Rape,3,Between-18-30-Yrs,2001
2,2,ANDAMAN & NICOBAR ISLANDS,Victims of Other Rape,2,Between-14-18-Yrs,2001
2,2,ANDHRA PRADESH,Victims of Incest Rape,4,Between-10-14-Yrs,2001
2,2,ANDHRA PRADESH,Victims of Incest Rape,4,Between-18-30-Yrs,2001
2,2,ASSAM,Total Rape Victims,817,Above-50-Yrs,2001
2,2,ASSAM,Victims of Other Rape,809,Above-50-Yrs,2001
2,2,BIHAR,Victims of Incest Rape,8,Between-10-14-Yrs,2001
2,2,CHANDIGARH,Victims of Incest Rape,2,Between-18-30-Yrs,2001
2,2,CHANDIGARH,Victims of Other Rape,16,Between-18-30-Yrs,2001
2,2,DELHI,Victims of Incest Rape,9,Between-14-18-Yrs,2001
2,2,GUJARAT,Victims of Incest Rape,2,Between-14-18-Yrs,2001
2,2,HIMACHAL PRADESH,Total Rape Victims,124,Above-50-Yrs,2001
2,2,HIMACHAL PRADESH,Victims of Other Rape,124,Above-50-Yrs,2001
2,2,JHARKHAND,Victims of Incest Rape,12,Between-18-30-Yrs,2001
2,2,JHARKHAND,Victims of Incest Rape,12,Between-30-50-Yrs,2001
2,2,MANIPUR,Total Rape Victims,20,Between-30-50-Yrs,2001
2,2,MANIPUR,Victims of Incest Rape,2,Upto-10-Yrs,2001
2,2,MANIPUR,Victims of Other Rape,18,Between-30-50-Yrs,2001
2,2,MEGHALAYA,Total Rape Victims,26,Between-10-14-Yrs,2001
2,2,MEGHALAYA,Victims of Incest Rape,5,Between-30-50-Yrs,2001
2,2,MEGHALAYA,Victims of Other Rape,21,Between-10-14-Yrs,2001
2,2,MEGHALAYA,Victims of Other Rape,21,Upto-10-Yrs,2001
2,2,NAGALAND,Victims of Other Rape,16,Between-30-50-Yrs,2001
2,2,PUDUCHERRY,Total Rape Victims,9,Between-10-14-Yrs,2001
2,2,PUDUCHERRY,Total Rape Victims,9,Between-14-18-Yrs,2001
2,2,PUDUCHERRY,Victims of Other Rape,9,Between-10-14-Yrs,2001
2,2,PUDUCHERRY,Victims of Other Rape,9,Between-14-18-Yrs,2001
2,2,SIKKIM,Total Rape Victims,8,Between-18-30-Yrs,2001
2,2,SIKKIM,Victims of Other Rape,7,Between-18-30-Yrs,2001
2,2,TAMIL NADU,Total Rape Victims,423,Above-50-Yrs,2001
2,2,TAMIL NADU,Victims of Incest Rape,21,Between-10-14-Yrs,2001
2,2,TAMIL NADU,Victims of Incest Rape,21,Between-30-50-Yrs,2001
2,2,TAMIL NADU,Victims of Other Rape,402,Above-50-Yrs,2001
2,2,UTTAR PRADESH,Victims of Incest Rape,3,Between-10-14-Yrs,2001
3,3,ANDAMAN & NICOBAR ISLANDS,Total Rape Victims,3,Between-14-18-Yrs,2001
3,3,CHANDIGARH,Total Rape Victims,18,Between-30-50-Yrs,2001
3,3,CHANDIGARH,Victims of Other Rape,16,Between-30-50-Yrs,2001
3,3,CHHATTISGARH,Victims of Incest Rape,6,Between-10-14-Yrs,2001
3,3,D&N HAVELI,Total Rape Victims,6,Between-14-18-Yrs,2001
3,3,D&N HAVELI,Total Rape Victims,6,Between-18-30-Yrs,2001
3,3,D&N HAVELI,Victims of Other Rape,6,Between-14-18-Yrs,2001
