AGE_GROUP,COUNT,CRIME,GENDER,STATE_UT,Total_Juvenile,YEAR
12-16 Years,0,Burglary,Boys,SIKKIM,0,2002
12-16 Years,0,Burglary,Boys,SIKKIM,0,2003
12-16 Years,0,Burglary,Boys,SIKKIM,0,2007
12-16 Years,0,Burglary,Boys,TRIPURA,0,2002
12-16 Years,0,Burglary,Boys,TRIPURA,0,2003
12-16 Years,0,Burglary,Boys,TRIPURA,0,2004
12-16 Years,0,Burglary,Boys,TRIPURA,0,2005
12-16 Years,0,Burglary,Boys,TRIPURA,0,2006
12-16 Years,0,Burglary,Boys,TRIPURA,0,2007
12-16 Years,0,Burglary,Boys,TRIPURA,0,2010
12-16 Years,0,Burglary,Boys,UTTAR PRADESH,0,2002
12-16 Years,0,Burglary,Boys,UTTAR PRADESH,0,2008
12-16 Years,0,Burglary,Boys,UTTARAKHAND,0,2003
12-16 Years,0,Burglary,Boys,UTTARAKHAND,0,2004
12-16 Years,0,Burglary,Boys,UTTARAKHAND,0,2006
12-16 Years,0,Burglary,Boys,WEST BENGAL,0,2001
12-16 Years,0,Burglary,Boys,WEST BENGAL,0,2002
12-16 Years,0,Burglary,Boys,WEST BENGAL,0,2008
12-16 Years,0,Burglary,Boys,WEST BENGAL,0,2010
12-16 Years,0,Burglary,Girls,ANDAMAN & NICOBAR ISLANDS,0,2001
12-16 Years,0,Burglary,Girls,ANDAMAN & NICOBAR ISLANDS,0,2002
12-16 Years,0,Burglary,Girls,ANDAMAN & NICOBAR ISLANDS,0,2003
12-16 Years,0,Burglary,Girls,ANDAMAN & NICOBAR ISLANDS,0,2004
12-16 Years,0,Burglary,Girls,ANDAMAN & NICOBAR ISLANDS,0,2005
12-16 Years,0,Burglary,Girls,ANDAMAN & NICOBAR ISLANDS,0,2006
12-16 Years,0,Burglary,Girls,ANDAMAN & NICOBAR ISLANDS,0,2007
12-16 Years,0,Burglary,Girls,ANDAMAN & NICOBAR ISLANDS,0,2008
12-16 Years,0,Burglary,Girls,ANDAMAN & NICOBAR ISLANDS,0,2009
12-16 Years,0,Burglary,Girls,ANDAMAN & NICOBAR ISLANDS,0,2010
12-16 Years,0,Burglary,Girls,ANDHRA PRADESH,0,2001
12-16 Years,0,Burglary,Girls,ANDHRA PRADESH,0,2003
12-16 Years,0,Burglary,Girls,ANDHRA PRADESH,0,2006
12-16 Years,0,Burglary,Girls,ANDHRA PRADESH,0,2009
12-16 Years,0,Burglary,Girls,ANDHRA PRADESH,0,2010
12-16 Years,0,Burglary,Girls,ARUNACHAL PRADESH,0,2001
12-16 Years,0,Burglary,Girls,ARUNACHAL PRADESH,0,2002
12-16 Years,0,Burglary,Girls,ARUNACHAL PRADESH,0,2003
12-16 Years,0,Burglary,Girls,ARUNACHAL PRADESH,0,2004
12-16 Years,0,Burglary,Girls,ARUNACHAL PRADESH,0,2005
12-16 Years,0,Burglary,Girls,ARUNACHAL PRADESH,0,2006
12-16 Years,0,Burglary,Girls,ARUNACHAL PRADESH,0,2007
12-16 Years,0,Burglary,Girls,ARUNACHAL PRADESH,0,2008
12-16 Years,0,Burglary,Girls,ARUNACHAL PRADESH,0,2009
12-16 Years,0,Burglary,Girls,ARUNACHAL PRADESH,0,2010
12-16 Years,0,Burglary,Girls,ASSAM,0,2002
12-16 Years,0,Burglary,Girls,ASSAM,0,2005
12-16 Years,0,Burglary,Girls,ASSAM,0,2008
12-16 Years,0,Burglary,Girls,BIHAR,0,2001
12-16 Years,0,Burglary,Girls,BIHAR,0,2002
12-16 Years,0,Burglary,Girls,BIHAR,0,2003
12-16 Years,0,Burglary,Girls,BIHAR,0,2004
12-16 Years,0,Burglary,Girls,BIHAR,0,2005
12-16 Years,0,Burglary,Girls,BIHAR,0,2006
12-16 Years,0,Burglary,Girls,BIHAR,0,2007
12-16 Years,0,Burglary,Girls,BIHAR,0,2008
12-16 Years,0,Burglary,Girls,BIHAR,0,2009
12-16 Years,0,Burglary,Girls,BIHAR,0,2010
12-16 Years,0,Burglary,Girls,CHANDIGARH,0,2001
12-16 Years,0,Burglary,Girls,CHANDIGARH,0,2002
12-16 Years,0,Burglary,Girls,CHANDIGARH,0,2003
12-16 Years,0,Burglary,Girls,CHANDIGARH,0,2004
12-16 Years,0,Burglary,Girls,CHANDIGARH,0,2006
12-16 Years,0,Burglary,Girls,CHANDIGARH,0,2007
12-16 Years,0,Burglary,Girls,CHANDIGARH,0,2008
12-16 Years,0,Burglary,Girls,CHANDIGARH,0,2009
12-16 Years,0,Burglary,Girls,CHANDIGARH,0,2010
12-16 Years,0,Burglary,Girls,CHHATTISGARH,0,2004
12-16 Years,0,Burglary,Girls,CHHATTISGARH,0,2005
12-16 Years,0,Burglary,Girls,CHHATTISGARH,0,2006
12-16 Years,0,Burglary,Girls,D&N HAVELI,0,2001
12-16 Years,0,Burglary,Girls,D&N HAVELI,0,2002
12-16 Years,0,Burglary,Girls,D&N HAVELI,0,2003
12-16 Years,0,Burglary,Girls,D&N HAVELI,0,2004
12-16 Years,0,Burglary,Girls,D&N HAVELI,0,2005
12-16 Years,0,Burglary,Girls,D&N HAVELI,0,2006
12-16 Years,0,Burglary,Girls,D&N HAVELI,0,2007
12-16 Years,0,Burglary,Girls,D&N HAVELI,0,2008
12-16 Years,0,Burglary,Girls,D&N HAVELI,0,2009
12-16 Years,0,Burglary,Girls,D&N HAVELI,0,2010
12-16 Years,0,Burglary,Girls,DAMAN & DIU,0,2001
12-16 Years,0,Burglary,Girls,DAMAN & DIU,0,2002
12-16 Years,0,Burglary,Girls,DAMAN & DIU,0,2003
12-16 Years,0,Burglary,Girls,DAMAN & DIU,0,2004
12-16 Years,0,Burglary,Girls,DAMAN & DIU,0,2005
12-16 Years,0,Burglary,Girls,DAMAN & DIU,0,2006
12-16 Years,0,Burglary,Girls,DAMAN & DIU,0,2007
12-16 Years,0,Burglary,Girls,DAMAN & DIU,0,2008
12-16 Years,0,Burglary,Girls,DAMAN & DIU,0,2009
12-16 Years,0,Burglary,Girls,DAMAN & DIU,0,2010
12-16 Years,0,Burglary,Girls,DELHI UT,0,2001
12-16 Years,0,Burglary,Girls,DELHI UT,0,2002
12-16 Years,0,Burglary,Girls,DELHI UT,0,2003
12-16 Years,0,Burglary,Girls,DELHI UT,0,2004
12-16 Years,0,Burglary,Girls,DELHI UT,0,2005
12-16 Years,0,Burglary,Girls,DELHI UT,0,2006
12-16 Years,0,Burglary,Girls,DELHI UT,0,2007
12-16 Years,0,Burglary,Girls,DELHI UT,0,2008
12-16 Years,0,Burglary,Girls,DELHI UT,0,2009
12-16 Years,0,Burglary,Girls,DELHI UT,0,2010
12-16 Years,0,Burglary,Girls,GOA,0,2001
12-16 Years,0,Burglary,Girls,GOA,0,2003
12-16 Years,0,Burglary,Girls,GOA,0,2004
12-16 Years,0,Burglary,Girls,GOA,0,2005
12-16 Years,0,Burglary,Girls,GOA,0,2006
12-16 Years,0,Burglary,Girls,GOA,0,2007
12-16 Years,0,Burglary,Girls,GOA,0,2008
12-16 Years,0,Burglary,Girls,GOA,0,2009
12-16 Years,0,Burglary,Girls,GOA,0,2010
12-16 Years,0,Burglary,Girls,GUJARAT,0,2001
12-16 Years,0,Burglary,Girls,GUJARAT,0,2005
12-16 Years,0,Burglary,Girls,GUJARAT,0,2008
12-16 Years,0,Burglary,Girls,GUJARAT,0,2010
12-16 Years,0,Burglary,Girls,HARYANA,0,2001
12-16 Years,0,Burglary,Girls,HARYANA,0,2002
12-16 Years,0,Burglary,Girls,HARYANA,0,2003
12-16 Years,0,Burglary,Girls,HARYANA,0,2004
12-16 Years,0,Burglary,Girls,HARYANA,0,2005
12-16 Years,0,Burglary,Girls,HARYANA,0,2006
12-16 Years,0,Burglary,Girls,HARYANA,0,2007
12-16 Years,0,Burglary,Girls,HARYANA,0,2009
12-16 Years,0,Burglary,Girls,HARYANA,0,2010
12-16 Years,0,Burglary,Girls,HIMACHAL PRADESH,0,2001
12-16 Years,0,Burglary,Girls,HIMACHAL PRADESH,0,2002
12-16 Years,0,Burglary,Girls,HIMACHAL PRADESH,0,2003
12-16 Years,0,Burglary,Girls,HIMACHAL PRADESH,0,2004
12-16 Years,0,Burglary,Girls,HIMACHAL PRADESH,0,2005
12-16 Years,0,Burglary,Girls,HIMACHAL PRADESH,0,2006
12-16 Years,0,Burglary,Girls,HIMACHAL PRADESH,0,2007
12-16 Years,0,Burglary,Girls,HIMACHAL PRADESH,0,2009
12-16 Years,0,Burglary,Girls,HIMACHAL PRADESH,0,2010
12-16 Years,0,Burglary,Girls,JAMMU & KASHMIR,0,2001
12-16 Years,0,Burglary,Girls,JAMMU & KASHMIR,0,2002
12-16 Years,0,Burglary,Girls,JAMMU & KASHMIR,0,2003
12-16 Years,0,Burglary,Girls,JAMMU & KASHMIR,0,2004
12-16 Years,0,Burglary,Girls,JAMMU & KASHMIR,0,2005
12-16 Years,0,Burglary,Girls,JAMMU & KASHMIR,0,2006
12-16 Years,0,Burglary,Girls,JAMMU & KASHMIR,0,2007
12-16 Years,0,Burglary,Girls,JAMMU & KASHMIR,0,2008
12-16 Years,0,Burglary,Girls,JAMMU & KASHMIR,0,2009
12-16 Years,0,Burglary,Girls,JAMMU & KASHMIR,0,2010
12-16 Years,0,Burglary,Girls,JHARKHAND,0,2001
12-16 Years,0,Burglary,Girls,JHARKHAND,0,2003
12-16 Years,0,Burglary,Girls,JHARKHAND,0,2004
12-16 Years,0,Burglary,Girls,JHARKHAND,0,2005
12-16 Years,0,Burglary,Girls,JHARKHAND,0,2006
12-16 Years,0,Burglary,Girls,JHARKHAND,0,2007
12-16 Years,0,Burglary,Girls,JHARKHAND,0,2008
12-16 Years,0,Burglary,Girls,JHARKHAND,0,2009
12-16 Years,0,Burglary,Girls,JHARKHAND,0,2010
12-16 Years,0,Burglary,Girls,KARNATAKA,0,2002
12-16 Years,0,Burglary,Girls,KARNATAKA,0,2003
12-16 Years,0,Burglary,Girls,KARNATAKA,0,2005
12-16 Years,0,Burglary,Girls,KARNATAKA,0,2006
12-16 Years,0,Burglary,Girls,KARNATAKA,0,2008
12-16 Years,0,Burglary,Girls,KARNATAKA,0,2009
12-16 Years,0,Burglary,Girls,KERALA,0,2001
12-16 Years,0,Burglary,Girls,KERALA,0,2002
12-16 Years,0,Burglary,Girls,KERALA,0,2003
12-16 Years,0,Burglary,Girls,KERALA,0,2004
12-16 Years,0,Burglary,Girls,KERALA,0,2005
12-16 Years,0,Burglary,Girls,KERALA,0,2006
12-16 Years,0,Burglary,Girls,KERALA,0,2007
12-16 Years,0,Burglary,Girls,KERALA,0,2008
12-16 Years,0,Burglary,Girls,KERALA,0,2009
12-16 Years,0,Burglary,Girls,KERALA,0,2010
12-16 Years,0,Burglary,Girls,LAKSHADWEEP,0,2001
12-16 Years,0,Burglary,Girls,LAKSHADWEEP,0,2002
12-16 Years,0,Burglary,Girls,LAKSHADWEEP,0,2003
12-16 Years,0,Burglary,Girls,LAKSHADWEEP,0,2004
12-16 Years,0,Burglary,Girls,LAKSHADWEEP,0,2005
12-16 Years,0,Burglary,Girls,LAKSHADWEEP,0,2006
12-16 Years,0,Burglary,Girls,LAKSHADWEEP,0,2007
12-16 Years,0,Burglary,Girls,LAKSHADWEEP,0,2008
12-16 Years,0,Burglary,Girls,LAKSHADWEEP,0,2009
12-16 Years,0,Burglary,Girls,LAKSHADWEEP,0,2010
12-16 Years,0,Burglary,Girls,MADHYA PRADESH,0,2007
12-16 Years,0,Burglary,Girls,MANIPUR,0,2001
12-16 Years,0,Burglary,Girls,MANIPUR,0,2002
12-16 Years,0,Burglary,Girls,MANIPUR,0,2003
12-16 Years,0,Burglary,Girls,MANIPUR,0,2004
12-16 Years,0,Burglary,Girls,MANIPUR,0,2005
12-16 Years,0,Burglary,Girls,MANIPUR,0,2006
12-16 Years,0,Burglary,Girls,MANIPUR,0,2007
12-16 Years,0,Burglary,Girls,MANIPUR,0,2008
12-16 Years,0,Burglary,Girls,MANIPUR,0,2009
12-16 Years,0,Burglary,Girls,MANIPUR,0,2010
12-16 Years,0,Burglary,Girls,MEGHALAYA,0,2001
12-16 Years,0,Burglary,Girls,MEGHALAYA,0,2002
12-16 Years,0,Burglary,Girls,MEGHALAYA,0,2003
12-16 Years,0,Burglary,Girls,MEGHALAYA,0,2004
12-16 Years,0,Burglary,Girls,MEGHALAYA,0,2005
12-16 Years,0,Burglary,Girls,MEGHALAYA,0,2006
12-16 Years,0,Burglary,Girls,MEGHALAYA,0,2007
12-16 Years,0,Burglary,Girls,MEGHALAYA,0,2008
12-16 Years,0,Burglary,Girls,MEGHALAYA,0,2009
12-16 Years,0,Burglary,Girls,MEGHALAYA,0,2010
12-16 Years,0,Burglary,Girls,MIZORAM,0,2001
12-16 Years,0,Burglary,Girls,MIZORAM,0,2002
12-16 Years,0,Burglary,Girls,MIZORAM,0,2003
12-16 Years,0,Burglary,Girls,MIZORAM,0,2005
12-16 Years,0,Burglary,Girls,MIZORAM,0,2006
12-16 Years,0,Burglary,Girls,MIZORAM,0,2007
12-16 Years,0,Burglary,Girls,MIZORAM,0,2008
12-16 Years,0,Burglary,Girls,MIZORAM,0,2009
12-16 Years,0,Burglary,Girls,MIZORAM,0,2010
12-16 Years,0,Burglary,Girls,NAGALAND,0,2001
12-16 Years,0,Burglary,Girls,NAGALAND,0,2002
12-16 Years,0,Burglary,Girls,NAGALAND,0,2003
12-16 Years,0,Burglary,Girls,NAGALAND,0,2004
12-16 Years,0,Burglary,Girls,NAGALAND,0,2005
12-16 Years,0,Burglary,Girls,NAGALAND,0,2006
12-16 Years,0,Burglary,Girls,NAGALAND,0,2007
12-16 Years,0,Burglary,Girls,NAGALAND,0,2008
12-16 Years,0,Burglary,Girls,NAGALAND,0,2009
12-16 Years,0,Burglary,Girls,NAGALAND,0,2010
12-16 Years,0,Burglary,Girls,ODISHA,0,2001
12-16 Years,0,Burglary,Girls,ODISHA,0,2002
12-16 Years,0,Burglary,Girls,ODISHA,0,2004
12-16 Years,0,Burglary,Girls,ODISHA,0,2006
12-16 Years,0,Burglary,Girls,ODISHA,0,2007
12-16 Years,0,Burglary,Girls,ODISHA,0,2009
12-16 Years,0,Burglary,Girls,ODISHA,0,2010
12-16 Years,0,Burglary,Girls,PUDUCHERRY,0,2001
12-16 Years,0,Burglary,Girls,PUDUCHERRY,0,2002
12-16 Years,0,Burglary,Girls,PUDUCHERRY,0,2003
12-16 Years,0,Burglary,Girls,PUDUCHERRY,0,2004
12-16 Years,0,Burglary,Girls,PUDUCHERRY,0,2005
12-16 Years,0,Burglary,Girls,PUDUCHERRY,0,2006
12-16 Years,0,Burglary,Girls,PUDUCHERRY,0,2007
12-16 Years,0,Burglary,Girls,PUDUCHERRY,0,2008
12-16 Years,0,Burglary,Girls,PUDUCHERRY,0,2009
12-16 Years,0,Burglary,Girls,PUDUCHERRY,0,2010
12-16 Years,0,Burglary,Girls,PUNJAB,0,2001
12-16 Years,0,Burglary,Girls,PUNJAB,0,2002
12-16 Years,0,Burglary,Girls,PUNJAB,0,2003
12-16 Years,0,Burglary,Girls,PUNJAB,0,2005
12-16 Years,0,Burglary,Girls,PUNJAB,0,2006
12-16 Years,0,Burglary,Girls,PUNJAB,0,2007
12-16 Years,0,Burglary,Girls,PUNJAB,0,2008
12-16 Years,0,Burglary,Girls,PUNJAB,0,2009
12-16 Years,0,Burglary,Girls,PUNJAB,0,2010
12-16 Years,0,Burglary,Girls,RAJASTHAN,0,2002
12-16 Years,0,Burglary,Girls,RAJASTHAN,0,2004
12-16 Years,0,Burglary,Girls,RAJASTHAN,0,2007
12-16 Years,0,Burglary,Girls,RAJASTHAN,0,2008
12-16 Years,0,Burglary,Girls,SIKKIM,0,2001
12-16 Years,0,Burglary,Girls,SIKKIM,0,2002
12-16 Years,0,Burglary,Girls,SIKKIM,0,2003
12-16 Years,0,Burglary,Girls,SIKKIM,0,2004
12-16 Years,0,Burglary,Girls,SIKKIM,0,2005
12-16 Years,0,Burglary,Girls,SIKKIM,0,2006
12-16 Years,0,Burglary,Girls,SIKKIM,0,2007
12-16 Years,0,Burglary,Girls,SIKKIM,0,2008
12-16 Years,0,Burglary,Girls,SIKKIM,0,2009
12-16 Years,0,Burglary,Girls,SIKKIM,0,2010
12-16 Years,0,Burglary,Girls,TAMIL NADU,0,2001
12-16 Years,0,Burglary,Girls,TAMIL NADU,0,2003
12-16 Years,0,Burglary,Girls,TAMIL NADU,0,2004
12-16 Years,0,Burglary,Girls,TAMIL NADU,0,2007
12-16 Years,0,Burglary,Girls,TAMIL NADU,0,2008
12-16 Years,0,Burglary,Girls,TRIPURA,0,2001
12-16 Years,0,Burglary,Girls,TRIPURA,0,2002
12-16 Years,0,Burglary,Girls,TRIPURA,0,2003
12-16 Years,0,Burglary,Girls,TRIPURA,0,2004
12-16 Years,0,Burglary,Girls,TRIPURA,0,2005
12-16 Years,0,Burglary,Girls,TRIPURA,0,2006
12-16 Years,0,Burglary,Girls,TRIPURA,0,2007
12-16 Years,0,Burglary,Girls,TRIPURA,0,2008
12-16 Years,0,Burglary,Girls,TRIPURA,0,2009
12-16 Years,0,Burglary,Girls,TRIPURA,0,2010
12-16 Years,0,Burglary,Girls,UTTAR PRADESH,0,2001
12-16 Years,0,Burglary,Girls,UTTAR PRADESH,0,2002
12-16 Years,0,Burglary,Girls,UTTAR PRADESH,0,2003
12-16 Years,0,Burglary,Girls,UTTAR PRADESH,0,2004
12-16 Years,0,Burglary,Girls,UTTAR PRADESH,0,2005
12-16 Years,0,Burglary,Girls,UTTAR PRADESH,0,2006
12-16 Years,0,Burglary,Girls,UTTAR PRADESH,0,2007
12-16 Years,0,Burglary,Girls,UTTAR PRADESH,0,2008
12-16 Years,0,Burglary,Girls,UTTAR PRADESH,0,2009
12-16 Years,0,Burglary,Girls,UTTAR PRADESH,0,2010
12-16 Years,0,Burglary,Girls,UTTARAKHAND,0,2001
12-16 Years,0,Burglary,Girls,UTTARAKHAND,0,2002
12-16 Years,0,Burglary,Girls,UTTARAKHAND,0,2003
12-16 Years,0,Burglary,Girls,UTTARAKHAND,0,2004
12-16 Years,0,Burglary,Girls,UTTARAKHAND,0,2005
12-16 Years,0,Burglary,Girls,UTTARAKHAND,0,2006
12-16 Years,0,Burglary,Girls,UTTARAKHAND,0,2007
12-16 Years,0,Burglary,Girls,UTTARAKHAND,0,2008
12-16 Years,0,Burglary,Girls,UTTARAKHAND,0,2009
12-16 Years,0,Burglary,Girls,UTTARAKHAND,0,2010
12-16 Years,0,Burglary,Girls,WEST BENGAL,0,2001
12-16 Years,0,Burglary,Girls,WEST BENGAL,0,2002
12-16 Years,0,Burglary,Girls,WEST BENGAL,0,2003
12-16 Years,0,Burglary,Girls,WEST BENGAL,0,2004
12-16 Years,0,Burglary,Girls,WEST BENGAL,0,2005
12-16 Years,0,Burglary,Girls,WEST BENGAL,0,2006
12-16 Years,0,Burglary,Girls,WEST BENGAL,0,2007
12-16 Years,0,Burglary,Girls,WEST BENGAL,0,2008
12-16 Years,0,Burglary,Girls,WEST BENGAL,0,2009
12-16 Years,0,Burglary,Girls,WEST BENGAL,0,2010
12-16 Years,0,Cruelty by Husband or Relatives,Boys,ANDAMAN & NICOBAR ISLANDS,0,2001
12-16 Years,0,Cruelty by Husband or Relatives,Boys,ANDAMAN & NICOBAR ISLANDS,0,2002
12-16 Years,0,Cruelty by Husband or Relatives,Boys,ANDAMAN & NICOBAR ISLANDS,0,2003
12-16 Years,0,Cruelty by Husband or Relatives,Boys,ANDAMAN & NICOBAR ISLANDS,0,2004
12-16 Years,0,Cruelty by Husband or Relatives,Boys,ANDAMAN & NICOBAR ISLANDS,0,2005
12-16 Years,0,Cruelty by Husband or Relatives,Boys,ANDAMAN & NICOBAR ISLANDS,0,2006
12-16 Years,0,Cruelty by Husband or Relatives,Boys,ANDAMAN & NICOBAR ISLANDS,0,2007
12-16 Years,0,Cruelty by Husband or Relatives,Boys,ANDAMAN & NICOBAR ISLANDS,0,2008
12-16 Years,0,Cruelty by Husband or Relatives,Boys,ANDAMAN & NICOBAR ISLANDS,0,2009
12-16 Years,0,Cruelty by Husband or Relatives,Boys,ANDAMAN & NICOBAR ISLANDS,0,2010
12-16 Years,0,Cruelty by Husband or Relatives,Boys,ANDHRA PRADESH,0,2002
12-16 Years,0,Cruelty by Husband or Relatives,Boys,ANDHRA PRADESH,0,2008
12-16 Years,0,Cruelty by Husband or Relatives,Boys,ANDHRA PRADESH,0,2010
12-16 Years,0,Cruelty by Husband or Relatives,Boys,ARUNACHAL PRADESH,0,2001
12-16 Years,0,Cruelty by Husband or Relatives,Boys,ARUNACHAL PRADESH,0,2002
12-16 Years,0,Cruelty by Husband or Relatives,Boys,ARUNACHAL PRADESH,0,2003
12-16 Years,0,Cruelty by Husband or Relatives,Boys,ARUNACHAL PRADESH,0,2004
12-16 Years,0,Cruelty by Husband or Relatives,Boys,ARUNACHAL PRADESH,0,2005
12-16 Years,0,Cruelty by Husband or Relatives,Boys,ARUNACHAL PRADESH,0,2006
12-16 Years,0,Cruelty by Husband or Relatives,Boys,ARUNACHAL PRADESH,0,2007
12-16 Years,0,Cruelty by Husband or Relatives,Boys,ARUNACHAL PRADESH,0,2008
12-16 Years,0,Cruelty by Husband or Relatives,Boys,ARUNACHAL PRADESH,0,2009
12-16 Years,0,Cruelty by Husband or Relatives,Boys,ARUNACHAL PRADESH,0,2010
12-16 Years,0,Cruelty by Husband or Relatives,Boys,ASSAM,0,2001
12-16 Years,0,Cruelty by Husband or Relatives,Boys,ASSAM,0,2002
12-16 Years,0,Cruelty by Husband or Relatives,Boys,ASSAM,0,2003
12-16 Years,0,Cruelty by Husband or Relatives,Boys,ASSAM,0,2004
12-16 Years,0,Cruelty by Husband or Relatives,Boys,ASSAM,0,2005
12-16 Years,0,Cruelty by Husband or Relatives,Boys,ASSAM,0,2006
12-16 Years,0,Cruelty by Husband or Relatives,Boys,ASSAM,0,2007
12-16 Years,0,Cruelty by Husband or Relatives,Boys,ASSAM,0,2008
12-16 Years,0,Cruelty by Husband or Relatives,Boys,ASSAM,0,2009
12-16 Years,0,Cruelty by Husband or Relatives,Boys,BIHAR,0,2001
12-16 Years,0,Cruelty by Husband or Relatives,Boys,BIHAR,0,2004
12-16 Years,0,Cruelty by Husband or Relatives,Boys,BIHAR,0,2005
12-16 Years,0,Cruelty by Husband or Relatives,Boys,BIHAR,0,2006
12-16 Years,0,Cruelty by Husband or Relatives,Boys,BIHAR,0,2007
12-16 Years,0,Cruelty by Husband or Relatives,Boys,BIHAR,0,2008
12-16 Years,0,Cruelty by Husband or Relatives,Boys,BIHAR,0,2009
12-16 Years,0,Cruelty by Husband or Relatives,Boys,BIHAR,0,2010
12-16 Years,0,Cruelty by Husband or Relatives,Boys,CHANDIGARH,0,2001
12-16 Years,0,Cruelty by Husband or Relatives,Boys,CHANDIGARH,0,2002
12-16 Years,0,Cruelty by Husband or Relatives,Boys,CHANDIGARH,0,2003
12-16 Years,0,Cruelty by Husband or Relatives,Boys,CHANDIGARH,0,2004
12-16 Years,0,Cruelty by Husband or Relatives,Boys,CHANDIGARH,0,2005
12-16 Years,0,Cruelty by Husband or Relatives,Boys,CHANDIGARH,0,2006
12-16 Years,0,Cruelty by Husband or Relatives,Boys,CHANDIGARH,0,2007
12-16 Years,0,Cruelty by Husband or Relatives,Boys,CHANDIGARH,0,2008
12-16 Years,0,Cruelty by Husband or Relatives,Boys,CHANDIGARH,0,2009
12-16 Years,0,Cruelty by Husband or Relatives,Boys,CHANDIGARH,0,2010
12-16 Years,0,Cruelty by Husband or Relatives,Boys,CHHATTISGARH,0,2002
12-16 Years,0,Cruelty by Husband or Relatives,Boys,CHHATTISGARH,0,2007
12-16 Years,0,Cruelty by Husband or Relatives,Boys,D&N HAVELI,0,2001
12-16 Years,0,Cruelty by Husband or Relatives,Boys,D&N HAVELI,0,2002
12-16 Years,0,Cruelty by Husband or Relatives,Boys,D&N HAVELI,0,2003
12-16 Years,0,Cruelty by Husband or Relatives,Boys,D&N HAVELI,0,2004
